College Code,College Name,Branch,Category,Rank,Round
E003,"A.C.S. College of Engineering, Bengaluru",Aeronautical Engineering (AE),GM,77093,1
E003,"A.C.S. College of Engineering, Bengaluru",Aerospace Engineering (AS),GM,48348,1
E003,"A.C.S. College of Engineering, Bengaluru",Aerospace Engineering (AS),GM,90119,3
E003,"A.C.S. College of Engineering, Bengaluru",Aerospace Engineering (AS),GM,90119,4
E003,"A.C.S. College of Engineering, Bengaluru",Aerospace Engineering (AS),KKR,77596,1
E003,"A.C.S. College of Engineering, Bengaluru",Artificial Intelligence & Machine Learning (AI),GM,53225,1
E003,"A.C.S. College of Engineering, Bengaluru",Artificial Intelligence & Machine Learning (AI),GM,92733,3
E003,"A.C.S. College of Engineering, Bengaluru",Artificial Intelligence & Machine Learning (AI),GM,74861,4
E003,"A.C.S. College of Engineering, Bengaluru",Artificial Intelligence & Machine Learning (AI),KKR,109748,1
E003,"A.C.S. College of Engineering, Bengaluru",Computer Science & Engineering (CS),GM,72063,1
E003,"A.C.S. College of Engineering, Bengaluru",Computer Science & Engineering (CS),GM,104746,3
E003,"A.C.S. College of Engineering, Bengaluru",Computer Science & Engineering (CS),KKR,84428,1
E003,"A.C.S. College of Engineering, Bengaluru",Computer Science & Engineering (Cyber Security) (CY),GM,111502,1
E003,"A.C.S. College of Engineering, Bengaluru",Computer Science & Engineering (Cyber Security) (CY),GM,98461,3
E003,"A.C.S. College of Engineering, Bengaluru",Computer Science & Engineering (Data Science) (CD),GM,92839,1
E003,"A.C.S. College of Engineering, Bengaluru",Computer Science & Engineering (IOT) (CO),GM,106469,1
E003,"A.C.S. College of Engineering, Bengaluru",Electronics & Comm- unication Engineering (EC),GM,104372,1
E208,"A.G.M Rural College of Engineering and Technology, Hubballi",Computer Science & Engineering (Artificial Intelligence & Machine Learning) (CI),GM,101469,1
E208,"A.G.M Rural College of Engineering and Technology, Hubballi",Electronics & Comm- unication Engineering (EC),GM,107183,1
E007,"AMC Engineering College, Bengaluru",Aeronautical Engineering (AE),GM,65679,1
E007,"AMC Engineering College, Bengaluru",Aeronautical Engineering (AE),GM,95021,3
E007,"AMC Engineering College, Bengaluru",Aeronautical Engineering (AE),KKR,101846,1
E007,"AMC Engineering College, Bengaluru",Artificial Intelligence & Machine Learning (AI),GM,61086,1
E007,"AMC Engineering College, Bengaluru",Artificial Intelligence & Machine Learning (AI),GM,109229,3
E007,"AMC Engineering College, Bengaluru",Artificial Intelligence & Machine Learning (AI),GM,103040,4
E007,"AMC Engineering College, Bengaluru",Artificial Intelligence & Machine Learning (AI),KKR,109296,1
E007,"AMC Engineering College, Bengaluru",Civil Engineering (CV),GM,107819,1
E007,"AMC Engineering College, Bengaluru",Computer Science & Engineering (Artificial Intelligence & Machine Learning) (CI),GM,62210,1
E007,"AMC Engineering College, Bengaluru",Computer Science & Engineering (Artificial Intelligence & Machine Learning) (CI),GM,111096,3
E007,"AMC Engineering College, Bengaluru",Computer Science & Engineering (Artificial Intelligence & Machine Learning) (CI),GM,110976,4
E007,"AMC Engineering College, Bengaluru",Computer Science & Engineering (Artificial Intelligence & Machine Learning) (CI),KKR,92917,1
E007,"AMC Engineering College, Bengaluru",Computer Science & Engineering (Artificial Intelligence & Machine Learning) (CI),KKR,89886,2
E007,"AMC Engineering College, Bengaluru",Computer Science & Engineering (CS),GM,67547,1
E007,"AMC Engineering College, Bengaluru",Computer Science & Engineering (CS),GM,109518,3
E007,"AMC Engineering College, Bengaluru",Computer Science & Engineering (CS),GM,102932,4
E007,"AMC Engineering College, Bengaluru",Computer Science & Engineering (CS),KKR,108388,1
E007,"AMC Engineering College, Bengaluru",Computer Science & Engineering (CS),KKR,108388,2
E007,"AMC Engineering College, Bengaluru",Computer Science & Engineering (Data Science) (CD),GM,69322,1
E007,"AMC Engineering College, Bengaluru",Computer Science & Engineering (Data Science) (CD),GM,92944,3
E007,"AMC Engineering College, Bengaluru",Computer Science & Engineering (Data Science) (CD),KKR,87495,1
E007,"AMC Engineering College, Bengaluru",Electrical & Electronics Engineering (EE),GM,107250,1
E007,"AMC Engineering College, Bengaluru",Electrical & Electronics Engineering (EE),GM,70900,3
E007,"AMC Engineering College, Bengaluru",Electronics & Comm- unication Engineering (EC),GM,86989,1
E007,"AMC Engineering College, Bengaluru",Electronics & Communicati on Engineering (EC),GM,62066,3
E007,"AMC Engineering College, Bengaluru",Mechanical Engineering (ME),GM,103137,1
E011,"APS College of Engineering, Bengaluru",Computer Science & Engineering (Artificial Intelligence & Machine Learning) (CI),GM,73500,1
E011,"APS College of Engineering, Bengaluru",Computer Science & Engineering (Artificial Intelligence & Machine Learning) (CI),GM,94218,3
E011,"APS College of Engineering, Bengaluru",Computer Science & Engineering (CS),GM,99522,1
E011,"APS College of Engineering, Bengaluru",Computer Science & Engineering (CS),GM,41643,3
E011,"APS College of Engineering, Bengaluru",Computer Science & Engineering (Cyber Security) (CY),GM,106002,1
E011,"APS College of Engineering, Bengaluru",Electronics & Comm- unication Engineering (EC),GM,107673,1
E011,"APS College of Engineering, Bengaluru",Information Science & Engineering (IS),GM,111599,1
E152,"ATME College of Engineering, Mysuru",Computer Science & Engineering (Artificial Intelligence & Machine Learning) (CI),GM,84726,1
E152,"ATME College of Engineering, Mysuru",Computer Science & Engineering (Artificial Intelligence & Machine Learning) (CI),GM,99165,3
E152,"ATME College of Engineering, Mysuru",Computer Science & Engineering (CS),GM,80550,1
E152,"ATME College of Engineering, Mysuru",Computer Science & Engineering (CS),GM,105603,3
E152,"ATME College of Engineering, Mysuru",Computer Science & Engineering (Data Science) (CD),GM,91055,1
E152,"ATME College of Engineering, Mysuru",Electronics & Comm- unication Engineering (EC),GM,110767,1
E001,"Acharya Institute of Technology, Bengaluru",Aeronautical Engineering (AE),GM,32990,1
E001,"Acharya Institute of Technology, Bengaluru",Aeronautical Engineering (AE),GM,104061,3
E001,"Acharya Institute of Technology, Bengaluru",Aeronautical Engineering (AE),GM,56571,4
E001,"Acharya Institute of Technology, Bengaluru",Aeronautical Engineering (AE),KKR,97600,1
E001,"Acharya Institute of Technology, Bengaluru",Artificial Intelligence & Machine Learning (AI),GM,28132,1
E001,"Acharya Institute of Technology, Bengaluru",Artificial Intelligence & Machine Learning (AI),GM,52746,3
E001,"Acharya Institute of Technology, Bengaluru",Artificial Intelligence & Machine Learning (AI),GM,99107,4
E001,"Acharya Institute of Technology, Bengaluru",Artificial Intelligence & Machine Learning (AI),KKR,59237,1
E001,"Acharya Institute of Technology, Bengaluru",Artificial Intelligence & Machine Learning (AI),KKR,86498,2
E001,"Acharya Institute of Technology, Bengaluru",Bio- technology (BT),GM,57931,1
E001,"Acharya Institute of Technology, Bengaluru",Bio- technology (BT),GM,105937,3
E001,"Acharya Institute of Technology, Bengaluru",Bio- technology (BT),GM,82087,4
E001,"Acharya Institute of Technology, Bengaluru",Bio- technology (BT),KKR,94718,1
E001,"Acharya Institute of Technology, Bengaluru",Civil Engineering (CV),GM,60864,1
E001,"Acharya Institute of Technology, Bengaluru",Civil Engineering (CV),GM,90907,3
E001,"Acharya Institute of Technology, Bengaluru",Computer Science & Engineering (CS),GM,27452,1
E001,"Acharya Institute of Technology, Bengaluru",Computer Science & Engineering (CS),GM,51728,3
E001,"Acharya Institute of Technology, Bengaluru",Computer Science & Engineering (CS),GM,109781,4
E001,"Acharya Institute of Technology, Bengaluru",Computer Science & Engineering (CS),KKR,64341,1
E001,"Acharya Institute of Technology, Bengaluru",Computer Science & Engineering (CS),KKR,95420,2
E001,"Acharya Institute of Technology, Bengaluru",Computer Science & Engineering (Data Science) (CD),GM,28589,1
E001,"Acharya Institute of Technology, Bengaluru",Computer Science & Engineering (Data Science) (CD),GM,53623,3
E001,"Acharya Institute of Technology, Bengaluru",Computer Science & Engineering (Data Science) (CD),GM,103486,4
E001,"Acharya Institute of Technology, Bengaluru",Computer Science & Engineering (Data Science) (CD),KKR,77022,1
E001,"Acharya Institute of Technology, Bengaluru",Computer Science & Engineering (Data Science) (CD),KKR,102464,2
E001,"Acharya Institute of Technology, Bengaluru",Electrical & Electronics Engineering (EE),GM,48775,1
E001,"Acharya Institute of Technology, Bengaluru",Electrical & Electronics Engineering (EE),GM,104887,3
E001,"Acharya Institute of Technology, Bengaluru",Electrical & Electronics Engineering (EE),KKR,107783,1
E001,"Acharya Institute of Technology, Bengaluru",Electronics & Comm- unication Engineering (EC),GM,39829,1
E001,"Acharya Institute of Technology, Bengaluru",Electronics & Comm- unication Engineering (EC),KKR,90708,1
E001,"Acharya Institute of Technology, Bengaluru",Electronics & Communica- tion Engineering (EC),GM,87540,4
E001,"Acharya Institute of Technology, Bengaluru",Electronics & Communicati on Engineering (EC),GM,89548,3
